smiles,solubility,logp
ClCC(Cl)(Cl)Cl,-2.180000,2.410000
CC(Cl)(Cl)Cl,-2.000000,2.080000
ClC(Cl)C(Cl)Cl,-1.740000,2.840000
ClCC(Cl)Cl,-1.480000,2.170000
FC(F)(Cl)C(F)(Cl)Cl,-3.040000,2.700000
CC(Cl)Cl,-1.290000,1.520000
ClC(=C)Cl,-1.640000,1.860000
CCOC(C)OCC,-0.430000,1.130000
Clc1ccc(Cl)c(Cl)c1Cl,-4.570000,4.390000
C1CCc2ccccc2C1,-4.370000,3.430000
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.630000,4.390000
Clc1cccc(Cl)c1Cl,-4.000000,3.790000
Cc1cccc(C)c1C,-3.200000,3.510000
Brc1cc(Br)c(Br)cc1Br,-6.980000,5.050000
Clc1cc(Cl)c(Cl)cc1Cl,-5.560000,4.390000
Cc1cc(C)c(C)cc1C,-4.590000,4.030000
c1(Br)c(Br)cc(Br)cc1,-4.500000,4.280000
Clc1ccc(Cl)c(Cl)c1,-3.590000,3.790000
Cc1ccc(C)c(C)c1,-3.310000,3.510000
Oc1ccccc1O,0.620000,1.370000
Brc1ccccc1Br,-3.500000,3.510000
BrCCBr,-1.680000,1.870000
Clc1ccccc1Cl,-3.050000,3.180000
ClCCCl,-1.060000,1.500000
CC(Cl)CCl,-1.600000,1.920000
FC(F)(Cl)C(F)(F)Cl,-2.740000,2.500000
CCOCCOCC,-0.770000,0.790000
CCc1ccccc1CC,-3.280000,3.890000
O=N(=O)c1ccccc1N(=O)=O,-3.100000,1.850000
CC1CO1,-0.590000,0.370000
Brc1cc(Br)cc(Br)c1,-5.600000,4.280000
Clc1cc(Cl)cc(Cl)c1,-4.480000,3.790000
Cc1cc(C)cc(C)c1,-3.400000,3.510000
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.890000,1.790000
Oc1cccc(O)c1,0.810000,1.370000
C=CC=C,-1.870000,1.630000
Brc1cccc(Br)c1,-3.540000,3.510000
Clc1cccc(Cl)c1,-3.040000,3.180000
ClCCCCl,-1.620000,1.560000
CCNC(=S)NCC,-1.460000,0.690000
Fc1cccc(F)c1,-2.000000,2.260000
Cc1cc(C)c2ccccc2c1,-4.290000,3.990000
O=N(=O)c1cccc(c1)N(=O)=O,-2.290000,1.850000
Oc1ccc(O)cc1,-0.170000,1.370000
C1C=CCC=C1,-2.060000,1.940000
Brc1ccc(Br)cc1,-4.070000,3.510000
Clc1ccc(Cl)cc1,-3.270000,3.180000
CCc1ccc(CC)cc1,-3.750000,3.890000
Fc1ccc(F)cc1,-1.970000,2.260000
Cc1ccc(C)c2ccccc12,-4.140000,3.990000
O=N(=O)c1ccc(cc1)N(=O)=O,-3.390000,1.850000
C=CCC=C,-2.090000,2.080000
Cc1cccc2c(C)cccc12,-4.679000,3.990000
C=CCCC=C,-2.680000,2.520000
c1cnc2c(c1)ccc3ncccc23,-2.680000,2.290000
CC12CCC(CC1)C(C)(C)O2,-1.740000,2.350000
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999000,3.650000
Nc2cccc3nc1ccccc1cc23,-4.220000,2.680000
CC(C)CBr,-2.430000,2.270000
CCCCBr,-2.370000,2.350000
CCCCCCCBr,-4.430000,3.680000
CCCCCCBr,-3.810000,3.230000
Brc1cccc2ccccc12,-4.350000,3.730000
CCCCCCCCBr,-5.060000,4.120000
CCCCCBr,-3.080000,2.790000
CCCBr,-1.730000,1.900000
CCCCO,0.000000,0.810000
CCC=C,-1.940000,1.940000
CCC#C,-1.240000,1.430000
ClCCBr,-1.320000,1.690000
ClCC(C)C,-2.000000,2.080000
CCCCCl,-2.030000,2.160000
CCCCCCCCl,-4.000000,3.490000
CCCCCCCl,-3.120000,3.050000
Clc1cccc2ccccc12,-3.930000,3.570000
CCCCCCl,-2.730000,2.600000
CCCCl,-1.470000,1.720000
CCCCCCCCCCO,-3.630000,3.470000
CCCCCCCCC=C,-5.510000,4.610000
CCCCCCCCCCCCO,-4.800000,4.360000
CCc1cccc2ccccc12,-4.170000,3.920000
CCCCCCCO,-1.810000,2.140000
CCCCCC=C,-3.730000,3.270000
CCCCCC#C,-3.010000,2.770000
CCCCCCCCCCCCCCCCO,-7.000000,6.140000
CCCCCCO,-1.240000,1.690000
CCCCC=C,-3.230000,2.830000
CCCC(O)C=C,-0.590000,1.600000
CCCCC#C,-2.360000,2.320000
CCCCI,-2.960000,2.780000
CCCCCCCI,-4.810000,4.110000
Ic1cccc2ccccc12,-4.550000,3.890000
CCCI,-2.290000,2.330000
CC1=CCCCC1,-3.270000,2.550000
Cc1cccc2c1Cc3ccccc32,-5.220000,4.250000
Cc1cccc2ccccc12,-3.700000,3.480000
Cc1cccc2c1ccc3ccccc32,-5.850000,4.470000
Cn1ccc(=O)[nH]c1=O,-0.807000,-0.630000
Oc1cccc2ccccc12,-2.220000,2.660000
Nc1cccc2ccccc12,-1.920000,2.130000
O=N(=O)c1cccc2ccccc12,-3.540000,2.900000
CCCN(=O)=O,-0.800000,0.900000
CCCCCCCCCO,-3.010000,3.030000
CCCCCCCC=C,-5.050000,4.160000
CCCCCCCC#C,-4.240000,3.660000
CCCCCCCCCCCCCCCCCCO,-8.400000,7.030000
CCCCCCCCO,-2.390000,2.580000
CCCCCCC=C,-4.440000,3.720000
CCCCCCC#C,-3.660000,3.210000
CCCCCCCCCCCCCCCO,-6.350000,5.700000
CCCCCO,-0.600000,1.250000
CCCC=C,-2.680000,2.380000
CCCC#C,-1.640000,1.880000
CC(O)c1ccccc1,-0.920000,1.620000
